Date,MSFT,AAPL,NVDA,AMZN,GOOGL,META,GOOG,CVX,TSLA,LLY,UNH,AVGO,JPM,V,XOM,JNJ,HD,MA,PG,COST,MRK,ABBV,ADBE,CRM,AMD
2021-01-04,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,2.0409612259387715,2.1995804903428255,1.1941743302049594,1.6370835190030208,2.875721319199155,1.4314159645901885,3.206422358256243,1.5617597085305908,2.719155460216313,6.17118526537424,0.817698530992282,4.373799708320579,1.6510185156267145,0.36695946573001975,1.8502907621363618,4.578731178404999,2.3566273664118333,0.4901608562918447,0.5507840433388881,0.5336131195032404,0.9122083061313916,1.5427726092188265,0.835112356106506,1.3428047390227418,1.2209669107795136
2021-01-28,2.0640489796249684,1.8910344466083764,0.8431823301191488,1.0684388197875774,1.476119215146644,1.0560416242659212,1.5801103090736184,1.146482651724884,2.248459950225064,4.102973338793345,0.6964002134944723,1.599008702384404,1.205003220564468,0.31326334751127,1.3393626698879808,2.5096872063878424,1.3844946146965846,0.41042070210558196,0.3193873921478144,0.4681566790190792,0.6094413849495753,0.7147982877013729,0.6186176621509153,1.1829048076977198,0.8138416716694163
2021-01-29,4.123850607945687,1.8650061503450468,1.2865716050855263,1.4506854975343535,1.840165838474542,1.0701557342018397,1.832537839985608,0.9455736424820627,1.65096504178046,5.087218173123849,0.4517048267673224,2.0173370009544263,0.9059880576081726,0.4658212873086317,1.2665208081828496,2.464402668249163,1.4932897200376494,0.5845480165110096,0.3631732465597487,0.577899807129116,0.571439441701993,0.9020031330641958,1.0070459094273037,1.7414660371619037,0.8636609362525651
2021-02-01,1.9273405833653152,1.0871664844505067,0.8305877160049066,1.1909439899967411,1.3148021226643156,0.8018141051746723,1.2902983795144551,0.6570212481223558,0.9226732867032269,4.246453648612282,0.26979250674528255,1.2741925457912335,0.5136248174569857,0.3524811202887986,1.0107996362289757,1.2493325593164064,1.1865484420262769,0.46920742176512525,0.3413592533685291,0.5307453445036282,0.37923829808194087,0.693888418491452,0.6488840772246335,1.5146390717660525,0.518093125759991
2021-02-02,2.3268941812452093,1.146218379465889,1.0025537005223342,1.6243483372049488,1.5297683248263383,0.9044098227940884,1.5246138226531507,0.686797077027317,0.8325334721145913,3.183445453963225,0.29087816166792335,1.7569590799508341,0.5710990244165735,0.4756330922870947,0.9531163209925114,1.240790548800042,1.0546823748739877,0.49801486078834345,0.3926083741388702,0.4424733019721214,0.4454988208384055,0.6422113966219111,0.7312879923886405,1.4312627343049824,0.6502821429353011
2021-02-03,2.688747252977362,1.4451498720755607,0.9891448936964697,2.3689949740797593,2.1243782616582565,1.323310400117244,2.105681177065032,0.6983573349569778,1.554604294258514,1.5255693545787135,0.4386483480587901,2.091372162471441,0.7162509894755503,0.6682875145830671,0.8632239797369862,1.166904047947607,1.0526537419219575,0.7849843894589156,0.4112627063885645,0.7158378088854698,0.2971692465086994,0.6032372478567618,1.2800989135750254,2.382069361014612,0.5784129286119968
2021-02-04,3.67552996456085,1.36612526181512,1.0522917318137086,1.765018322097678,3.4554837537603658,1.568812099663599,3.4850471008945054,0.7163925699655458,1.0743219225574605,2.137413092863611,0.4681102662776083,1.4213827223411155,0.6771879015742074,0.7350206113004465,0.9684056487533035,1.2141735922771415,0.9444502940622459,0.8379610011371537,0.44506466100453057,0.6999615482477688,0.3432725882389259,0.8163000109137822,1.2693080165201014,3.2011420391071352,0.6038361000366611
